,SeriesInstanceUID,StudyInstanceUID
77,1.3.6.1.4.1.14519.5.2.1.3320.3273.760297053780044963175555775271,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
78,1.3.6.1.4.1.14519.5.2.1.3320.3273.130865347581265276519376328445,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
79,1.3.6.1.4.1.14519.5.2.1.3320.3273.162649385279978280221469128442,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
80,1.3.6.1.4.1.14519.5.2.1.3320.3273.264980795427578279806548149416,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
81,1.3.6.1.4.1.14519.5.2.1.3320.3273.272860470936058033793869422228,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
82,1.3.6.1.4.1.14519.5.2.1.3320.3273.303460320208270006512652481277,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
83,1.3.6.1.4.1.14519.5.2.1.3320.3273.180310707470006597471633574587,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
84,1.3.6.1.4.1.14519.5.2.1.3320.3273.996351055929072290290472608687,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
85,1.3.6.1.4.1.14519.5.2.1.3320.3273.298119005550815475081515497057,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
86,1.3.6.1.4.1.14519.5.2.1.3320.3273.148654260493210832272217573207,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
87,1.3.6.1.4.1.14519.5.2.1.3320.3273.210698082491426670913697903421,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
88,1.3.6.1.4.1.14519.5.2.1.3320.3273.329714410653572250651188195058,1.3.6.1.4.1.14519.5.2.1.3320.3273.196330480031434901815324832087
89,1.3.6.1.4.1.14519.5.2.1.3320.3273.109907077249437380006257715218,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
90,1.3.6.1.4.1.14519.5.2.1.3320.3273.801614726969757389999862745870,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
91,1.3.6.1.4.1.14519.5.2.1.3320.3273.117697860842469424285014938354,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
92,1.3.6.1.4.1.14519.5.2.1.3320.3273.181707673728533998197902625259,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
93,1.3.6.1.4.1.14519.5.2.1.3320.3273.296309022468668864873393924011,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
94,1.3.6.1.4.1.14519.5.2.1.3320.3273.565678380624727538761920195434,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
95,1.3.6.1.4.1.14519.5.2.1.3320.3273.319462093409708681021006031459,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
96,1.3.6.1.4.1.14519.5.2.1.3320.3273.214561033144644598579974105743,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
97,1.3.6.1.4.1.14519.5.2.1.3320.3273.282071242380021665248999780126,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
98,1.3.6.1.4.1.14519.5.2.1.3320.3273.693879802630940881040653938511,1.3.6.1.4.1.14519.5.2.1.3320.3273.332243207923115392849573395441
99,1.3.6.1.4.1.14519.5.2.1.3320.3273.259287068599983577880100000520,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
100,1.3.6.1.4.1.14519.5.2.1.3320.3273.184420484450168039463042911350,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
101,1.3.6.1.4.1.14519.5.2.1.3320.3273.299257796172123609820204960625,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
102,1.3.6.1.4.1.14519.5.2.1.3320.3273.132589642337916152288065344115,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
103,1.3.6.1.4.1.14519.5.2.1.3320.3273.871755324066958773758875417329,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
104,1.3.6.1.4.1.14519.5.2.1.3320.3273.227987923482464214579439526176,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
105,1.3.6.1.4.1.14519.5.2.1.3320.3273.193050234304037236586491521727,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
106,1.3.6.1.4.1.14519.5.2.1.3320.3273.255299570883878663075351014643,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
107,1.3.6.1.4.1.14519.5.2.1.3320.3273.127632725759219086465393399133,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
108,1.3.6.1.4.1.14519.5.2.1.3320.3273.963792282981320745182193510719,1.3.6.1.4.1.14519.5.2.1.3320.3273.239721132111583530161412890801
109,1.3.6.1.4.1.14519.5.2.1.3320.3273.107702912936262333175779927673,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
110,1.3.6.1.4.1.14519.5.2.1.3320.3273.180178346640442286093885106161,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
111,1.3.6.1.4.1.14519.5.2.1.3320.3273.146655446322852496386649369461,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
112,1.3.6.1.4.1.14519.5.2.1.3320.3273.553936689955603190654728376343,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
113,1.3.6.1.4.1.14519.5.2.1.3320.3273.211014260748976632732363968563,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
114,1.3.6.1.4.1.14519.5.2.1.3320.3273.117777317546309115661840185576,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
115,1.3.6.1.4.1.14519.5.2.1.3320.3273.179777859708494712432806178141,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
116,1.3.6.1.4.1.14519.5.2.1.3320.3273.316531575820020525258714473307,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
117,1.3.6.1.4.1.14519.5.2.1.3320.3273.618724200655811650580547171212,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
118,1.3.6.1.4.1.14519.5.2.1.3320.3273.289485729673472822035141123349,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
119,1.3.6.1.4.1.14519.5.2.1.3320.3273.208035845248087284424400481808,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
120,1.3.6.1.4.1.14519.5.2.1.3320.3273.199076936350850723897570879024,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
121,1.3.6.1.4.1.14519.5.2.1.3320.3273.739420484618644185468783413200,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
122,1.3.6.1.4.1.14519.5.2.1.3320.3273.133641654360610039972288536224,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
123,1.3.6.1.4.1.14519.5.2.1.3320.3273.714115906605005322599355697456,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
124,1.3.6.1.4.1.14519.5.2.1.3320.3273.820199873953831060168201350290,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
125,1.3.6.1.4.1.14519.5.2.1.3320.3273.238214257742880058345866722824,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
126,1.3.6.1.4.1.14519.5.2.1.3320.3273.414798232766188356968858056017,1.3.6.1.4.1.14519.5.2.1.3320.3273.195033543834914150985021690272
127,1.3.6.1.4.1.14519.5.2.1.3320.3273.932993679844142605902850821905,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
128,1.3.6.1.4.1.14519.5.2.1.3320.3273.307218047122277972983213156423,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
129,1.3.6.1.4.1.14519.5.2.1.3320.3273.209574156108076702425516914098,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
130,1.3.6.1.4.1.14519.5.2.1.3320.3273.274422529596691576334936620149,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
131,1.3.6.1.4.1.14519.5.2.1.3320.3273.127464139664787832819120457493,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
132,1.3.6.1.4.1.14519.5.2.1.3320.3273.186570362014905101188353317413,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
133,1.3.6.1.4.1.14519.5.2.1.3320.3273.270235304914525191600298207707,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
134,1.3.6.1.4.1.14519.5.2.1.3320.3273.246800651633647256883452914520,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
135,1.3.6.1.4.1.14519.5.2.1.3320.3273.125008776096842663135551246714,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
136,1.3.6.1.4.1.14519.5.2.1.3320.3273.250119245171755294268939854905,1.3.6.1.4.1.14519.5.2.1.3320.3273.588816763760227852703736612242
