,SeriesInstanceUID,StudyInstanceUID
130,1.2.826.0.1.534147.667.2747872357.2023416121210900.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.254663486881727398899474231028
131,1.2.826.0.1.534147.667.2747872357.20234184261284,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
132,1.2.826.0.1.534147.667.2747872357.202341865249228,1.3.6.1.4.1.14519.5.2.1.3320.3273.309521824160653805254980817690
133,1.2.826.0.1.534147.756.812677238.2023216105548409.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
134,1.2.826.0.1.534147.756.812677238.2023216105530466.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.290767319769896645657710726154
135,1.2.826.0.1.534147.667.2747872357.202341841438617.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188384016643181993175785468213
136,1.2.826.0.1.534147.667.2747872357.20234184331912.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.293665903142457581490353534076
137,1.2.826.0.1.534147.667.2747872357.202349101734186.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.921901647081236446858497960801
138,1.2.826.0.1.534147.667.2747872357.202341052818150.1,1.3.6.1.4.1.14519.5.2.1.3320.3273.563427116500580376452158678405
139,1.2.826.0.1.534147.667.2747872357.2023410113453110.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.270034430960482880043098875164
140,1.2.826.0.1.534147.667.2747872357.20234101137468,1.3.6.1.4.1.14519.5.2.1.3320.3273.270034430960482880043098875164
141,1.2.826.0.1.534147.667.2747872357.202349121626272.4,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
142,1.2.826.0.1.534147.667.2747872357.202341843653313.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
143,1.2.826.0.1.534147.667.2747872357.20234184218792.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
144,1.2.826.0.1.534147.756.812677238.20232216427803.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.301592575731883944885763720530
145,1.2.826.0.1.534147.667.2747872357.2023418115223918.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.962163137940544766191077843265
146,1.2.826.0.1.534147.667.2747872357.202342342654790.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.114458460915300425179441578495
147,1.2.826.0.1.534147.667.2747872357.20234186849449.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
148,1.2.826.0.1.534147.667.2747872357.202341872234271.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
149,1.2.826.0.1.534147.667.2747872357.202341861039629.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
150,1.2.826.0.1.534147.667.2747872357.202341841430305,1.3.6.1.4.1.14519.5.2.1.3320.3273.188384016643181993175785468213
151,1.2.826.0.1.534147.756.812677238.202321661747714,1.3.6.1.4.1.14519.5.2.1.6450.2626.208151376698023858615816901720
152,1.2.826.0.1.534147.756.812677238.2023216122634624,1.3.6.1.4.1.14519.5.2.1.4801.2626.764921041005474451168824591200
153,1.2.826.0.1.534147.667.2747872357.202341011543541,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
154,1.2.826.0.1.534147.667.2747872357.2023418922117.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.192838963258103923102154182370
155,1.2.826.0.1.534147.667.2747872357.202341842413132,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
156,1.2.826.0.1.534147.667.2747872357.202341765211714.4,1.3.6.1.4.1.14519.5.2.1.4801.2626.152991518859835512248866858217
157,1.2.826.0.1.534147.685.39692665.202344105141851.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.174204562006846994671664826947
158,1.2.826.0.1.534147.667.2747872357.20234176175954.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
159,1.2.826.0.1.534147.756.812677238.202332192533586.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
160,1.2.826.0.1.534147.756.812677238.202321762745415.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
161,1.2.826.0.1.534147.667.2747872357.202341884510230.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.278591547013998249118155071292
162,1.2.826.0.1.534147.667.2747872357.202349114529589.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.402154920027198112804195952074
163,1.2.826.0.1.534147.756.812677238.20233126594641.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.208151376698023858615816901720
164,1.2.826.0.1.534147.667.2747872357.202342551040673.4,1.3.6.1.4.1.14519.5.2.1.4801.5885.208180815032715070388894288661
165,1.2.826.0.1.534147.667.2747872357.202342341447415,1.3.6.1.4.1.14519.5.2.1.2932.1975.669849651815132593530795435161
166,1.2.826.0.1.534147.756.812677238.202321764453503.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.999281834991363903000965758121
167,1.2.826.0.1.534147.667.2747872357.20234911451137.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.402154920027198112804195952074
168,1.2.826.0.1.534147.667.2747872357.202341861056382.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
169,1.2.826.0.1.534147.667.2747872357.20234188456408.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.381157287391063291151751683785
170,1.2.826.0.1.534147.667.2747872357.202341810743548.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.255274206900916916836077152939
171,1.2.826.0.1.534147.667.2747872357.202341842046126.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
172,1.2.826.0.1.534147.667.2747872357.202341842423282.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.119041692754915148586879613084
173,1.2.826.0.1.534147.667.2747872357.20234167133897.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.215385921227437994607826861983
174,1.2.826.0.1.534147.756.812677238.202322013174926,1.3.6.1.4.1.14519.5.2.1.3320.3273.245208227411103135697860527050
175,1.2.826.0.1.534147.667.2747872357.2023410102427254,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
176,1.2.826.0.1.534147.667.2747872357.202341810730342.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.255274206900916916836077152939
177,1.2.826.0.1.534147.667.2747872357.202341765750432.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.284747996538780275169584797539
178,1.2.826.0.1.534147.756.812677238.20232165492668.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.967845617438214712145537331881
179,1.2.826.0.1.534147.667.2747872357.202341872547646.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
180,1.2.826.0.1.534147.667.2747872357.20234187517308.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.146575486790369559415443871707
181,1.2.826.0.1.534147.685.39692665.20234475054286.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.215385921227437994607826861983
182,1.2.826.0.1.534147.756.812677238.2023220104222156.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
183,1.2.826.0.1.534147.667.2747872357.20234175558960.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.272955509432106520123733663156
184,1.2.826.0.1.534147.667.2747872357.2023410102410222.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.188210997343468364670884561790
185,1.2.826.0.1.534147.756.812677238.2023221105629818.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.130266483691491692922925089431
186,1.2.826.0.1.534147.756.812677238.202332192326157.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.516657155938666334599803966375
187,1.2.826.0.1.534147.667.2747872357.2023410115033250.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
188,1.2.826.0.1.534147.667.2747872357.202341764330841,1.3.6.1.4.1.14519.5.2.1.3320.3273.260456621642028776932258433628
189,1.2.826.0.1.534147.667.2747872357.2023499510537.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.921901647081236446858497960801
190,1.2.826.0.1.534147.756.812677238.202321512162826.4,1.3.6.1.4.1.14519.5.2.1.6450.2626.848612250919504333517546576288
191,1.2.826.0.1.534147.667.2747872357.20234964431598,1.3.6.1.4.1.14519.5.2.1.6450.2626.809300942963203137864789278471
192,1.2.826.0.1.534147.756.812677238.2023221103526759.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.221887871764789333958049108298
193,1.2.826.0.1.534147.667.2747872357.20234234203896.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.262736964774169022991607075940
194,1.2.826.0.1.534147.667.2747872357.20234186440644.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.108239814565416110462120508363
195,1.2.826.0.1.534147.667.2747872357.2023410113754834,1.3.6.1.4.1.14519.5.2.1.3320.3273.270034430960482880043098875164
196,1.2.826.0.1.534147.685.39692665.2023447503557.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.215385921227437994607826861983
197,1.2.826.0.1.534147.667.2747872357.20234176933127.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.208397619884037475731120365907
198,1.2.826.0.1.534147.667.2747872357.202341872127620.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.357071961289985146348140536410
199,1.2.826.0.1.534147.667.2747872357.202341694431552.3,1.3.6.1.4.1.14519.5.2.1.3320.3273.297324100053617614335336016519
200,1.2.826.0.1.534147.667.2747872357.20234984217220,1.3.6.1.4.1.14519.5.2.1.3320.3273.325425058352741134357984208891
201,1.2.826.0.1.534147.667.2747872357.20234984156355.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.325425058352741134357984208891
202,1.2.826.0.1.534147.667.2747872357.202341843713857.4,1.3.6.1.4.1.14519.5.2.1.7085.2626.319528262033369309008695071705
203,1.2.826.0.1.534147.667.2747872357.2023410115629610.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.129581558191381046727115118754
204,1.2.826.0.1.534147.756.812677238.2023220131718873.4,1.3.6.1.4.1.14519.5.2.1.3320.3273.245208227411103135697860527050
